symbol,Ametal,Bmetal,Surface,Crystal System,DFT_ads_E,surface_energy,Cost,activity_score,stability_score,cost_score,asci_score,asci_rank,key,AandB,experimentally_observed,distance_from_optimal
Fe2Sn4,Fe,Sn,111,Tetragonal,-0.19619126,1.0121810051045506,20.461383333333327,0.5079417333333333,0.7295778588865028,0.8078653134394425,0.6830556720019564,96,mp-22752_H_1_111,Fe-Sn,True,0.07380874000000001
Fe2Sn4,Fe,Sn,111,Tetragonal,-0.19716073,0.8564519572753387,20.461383333333327,0.5144048666666665,0.7872746578586096,0.8078653134394425,0.7042284496627516,84,mp-22752_H_2_111,Fe-Sn,True,0.07283927000000001
Fe2Sn4,Fe,Sn,111,Tetragonal,-0.23018211,0.8554232019640398,20.461383333333327,0.7345473999999999,0.7876558063290774,0.8078653134394425,0.777001264658006,42,mp-22752_H_3_111,Fe-Sn,True,0.03981789000000002
Sn4Ru2,Ru,Sn,111,Tetragonal,-0.27271038,0.9875952444332408,6772.084699999998,0.9819308000000003,0.7386867548234033,0.26074380651155415,0.6564566873056517,110,mp-510219_H_0_111,Ru-Sn,True,0.0027103799999999567
Sn4Ru2,Ru,Sn,111,Tetragonal,-0.12354695,1.075862250126983,6772.084699999998,0.023646333333333103,0.7059842901620458,0.26074380651155415,0.32943099996740344,309,mp-510219_H_1_111,Ru-Sn,True,0.14645305000000003
Sn4Ru2,Ru,Sn,111,Tetragonal,-0.24202628,0.9424683606960056,6772.084699999998,0.8135085333333333,0.7554060295863257,0.26074380651155415,0.6063946999774159,132,mp-510219_H_2_111,Ru-Sn,True,0.027973720000000007
Sn4Ru2,Ru,Sn,111,Tetragonal,-0.3493167,0.9851628123386456,6772.084699999998,0.47122200000000025,0.739587958211798,0.26074380651155415,0.48822018042382187,209,mp-510219_H_3_111,Ru-Sn,True,0.07931669999999996
Ti2Sb4,Sb,Ti,111,Tetragonal,-0.31129682,0.925758470684605,21.78492666666666,0.724687866666667,0.761596956573121,0.8019547929262757,0.7631386212640638,51,mp-568_H_3_111,Sb-Ti,True,0.041296819999999956
SbPt3,Pt,Sb,111,Tetragonal,-0.2716012,0.6810596564411319,23037.700382500003,0.9893253333333335,0.8522565893835791,0.14529213479853492,0.657121360328083,109,mp-973354_H_1_111,Pt-Sb,False,0.0016011999999999693
RuPt,Pt,Ru,111,Tetragonal,-0.36137784,2.2125879641567514,25481.075,0.3908144,0.2848333493258326,0.13578648171857882,0.26913116106184154,335,mp-1120769_H_0_111,Pt-Ru,False,0.09137783999999999
Ti2Ir2,Ir,Ti,111,Tetragonal,-0.28228125,2.303905547058123,68323.75086,0.9181250000000002,0.25100066173978014,0.04277797555972441,0.40035598006443385,275,mp-1235_H_1_111,Ir-Ti,True,0.012281249999999966
TaRu,Ru,Ta,111,Tetragonal,-0.37025166,2.501551078386238,10302.81,0.33165560000000016,0.17777402452769275,0.22117548287473543,0.24331144027154872,349,mp-1601_H_1_111,Ru-Ta,True,0.10025165999999996
Fe2Ni2,Fe,Ni,111,Tetragonal,-0.34467688,2.559485056262764,7.92251,0.5021541333333333,0.15630978826740152,0.8973385609053348,0.5223882048360564,190,mp-2213_H_0_111,Fe-Ni,True,0.07467688
FePt,Fe,Pt,111,Tetragonal,-0.35247603,2.308324326174044,15353.640025,0.4501598000000001,0.24936352715309057,0.18355647582339396,0.2932518997404739,327,mp-2260_H_0_111,Fe-Pt,True,0.08247602999999998
NbRu,Nb,Ru,111,Tetragonal,-0.27974335,2.317759484120512,10167.69,0.9350443333333335,0.24586785040622927,0.22242037491216682,0.4653239481041924,225,mp-432_H_0_111,Nb-Ru,True,0.009743349999999984
Co2Pt2,Co,Pt,111,Tetragonal,-0.39612369,2.119936959623673,15370.43993,0.1591754000000003,0.3191600626630347,0.18345335124684592,0.22022484210272916,353,mp-949_H_0_111,Co-Pt,True,0.12612368999999996
MoPt3,Mo,Pt,111,Trigonal,-0.38164267,1.9722650059753888,23045.870270000003,0.2557155333333333,0.3738717503168849,0.14525869958087229,0.25715176146206864,341,mp-1221425_H_0_111,Mo-Pt,False,0.11164267
Sn2Ir,Ir,Sn,210,Cubic,-0.1401535,1.0136915948828826,45567.318033333315,0.13435666666666646,0.7290181932622364,0.08097510632398343,0.3124452399266923,316,mp-2083_H_0_210,Ir-Sn,True,0.12984650000000003
Cu3Sn,Cu,Sn,210,Cubic,-0.13265035,0.731595416343544,15.4369325,0.08433566666666648,0.8335333542477048,0.834436380594267,0.5866051463037933,149,mp-838_H_0_210,Cu-Sn,True,0.13734965000000002
Sb14Mo6,Mo,Sb,210,Cubic,-0.16931093,0.998435002466024,39.065394999999995,0.32873953333333317,0.7346706810796682,0.7468827755630999,0.6048655144477444,134,mp-1521_H_5_210,Mo-Sb,True,0.10068907000000002
Sn14Ru6,Ru,Sn,210,Cubic,-0.3645967,1.138195169905296,6097.940435,0.3693553333333335,0.6828902688993076,0.27063173504072957,0.43925583865061957,248,mp-22344_H_3_210,Ru-Sn,True,0.09459669999999998
MnSb,Mn,Sb,210,Cubic,-0.21214845,1.1045596018656358,14.66259,0.6143229999999997,0.6953520712062556,0.8392893049663716,0.7175511371866307,72,mp-1009207_H_1_210,Mn-Sb,False,0.05785155000000003
TiPt,Pt,Ti,210,Cubic,-0.2070045,1.6160325779109208,15357.00586,0.5800299999999999,0.5058540045969094,0.1835358059379688,0.42074389553588953,260,mp-11552_H_0_210,Pt-Ti,True,0.06299550000000001
Cu3Sb,Cu,Sb,210,Cubic,-0.30026883,0.7590966781710543,15.0918025,0.7982078000000001,0.8233442803577693,0.836568574024049,0.8195455016862406,18,mp-1183969_H_1_210,Cu-Sb,False,0.03026882999999997
Cu3Pt,Cu,Pt,210,Cubic,-0.3257783,1.506914294919244,7684.57142,0.6281446666666666,0.5462817586075602,0.24882396073538138,0.4721608669905245,220,mp-12086_H_0_210,Cu-Pt,True,0.0557783
Cu3Pt,Cu,Pt,210,Cubic,-0.29030203,1.5013330664286848,7684.57142,0.8646531333333335,0.5483495746170073,0.24882396073538138,0.5508910402736421,176,mp-12086_H_1_210,Cu-Pt,True,0.02030202999999997
Ni3Pt,Ni,Pt,210,Cubic,-0.3955775,2.057844465909902,7688.6037275,0.1628166666666666,0.3421650073244137,0.24877449274426647,0.25122727995010713,346,mp-12798_H_0_210,Ni-Pt,True,0.1255775
Cu2Sn2,Cu,Sn,210,Hexagonal,-0.19085743,0.7278672277010587,20.505305,0.4723828666666665,0.8349146286703898,0.8076631128972036,0.7060136318462779,82,mp-10598_H_0_210,Cu-Sn,True,0.07914257000000002
Nb2Sb2,Nb,Sb,210,Hexagonal,-0.20430633,1.5292238375974925,54.835764999999995,0.5620421999999999,0.5380161895502177,0.714905670088498,0.6060871963816612,133,mp-1207123_H_2_210,Nb-Sb,False,0.06569367000000001
Cu6Sn2,Cu,Sn,210,Hexagonal,-0.24530253,0.8279590621785623,15.4369325,0.8353501999999998,0.7978311266962986,0.834436380594267,0.8226582072118294,16,mp-13138_H_0_210,Cu-Sn,True,0.024697470000000027
Cu6Sn2,Cu,Sn,210,Hexagonal,-0.28916604,0.9214502218350684,15.4369325,0.8722264,0.7631931402733267,0.834436380594267,0.8233968176922486,15,mp-13138_H_1_210,Cu-Sn,True,0.019166039999999995
