key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-1218950_H_0_210,mp-1218950,SnMo3,210,False,"{'Mo': 75.0, 'Sn': 25.0}","{'Mo': 81.81818181818183, 'Sn': 18.181818181818183}",Orthorhombic,Cmmm,-0.18115234375,-0.05313081
mp-1009207_H_1_210,mp-1009207,MnSb,210,False,"{'Mn': 50.0, 'Sb': 50.0}","{'Mn': 50.0, 'Sb': 50.0}",Cubic,Pm3m,-0.25927734375,-0.2538698
mp-1220420_H_2_210,mp-1220420,NbNi3,210,False,"{'Nb': 25.0, 'Ni': 75.0}","{'Nb': 25.0, 'Ni': 75.0}",Hexagonal,P6m2,-0.2216796875,-0.54270095
mp-810_H_2_210,mp-810,Ni2Sb2,210,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 25.0, 'Sb': 75.0}",Hexagonal,P63mmc,-0.224609375,-0.25112029
mp-2845_H_0_210,mp-2845,Sb2Pt2,210,False,"{'Pt': 50.0, 'Sb': 50.0}","{'Pt': 40.0, 'Sb': 60.0}",Hexagonal,P63mmc,-0.373779296875,-0.28231462
mp-581786_H_0_210,mp-581786,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 80.0, 'Sn': 20.0}",Orthorhombic,Pmmn,-0.22216796875,-0.18494176
mp-13138_H_0_210,mp-13138,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Hexagonal,P63mmc,-0.23046875,-0.24059296
mp-13138_H_1_210,mp-13138,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 76.92307692307693, 'Sn': 23.076923076923077}",Hexagonal,P63mmc,-0.29736328125,-0.29799275
mp-581786_H_1_210,mp-581786,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 80.0, 'Sn': 20.0}",Orthorhombic,Pmmn,-0.2314453125,-0.21996673
mp-1221705_H_2_210,mp-1221705,Mn3Sb2,210,False,"{'Mn': 60.0, 'Sb': 40.0}","{'Mn': 50.0, 'Sb': 50.0}",Hexagonal,P6m2,-0.399169921875,-0.69135299
