Unnamed: 0,Slab_Facet_info,bulk_id,in_domain,Ametal,Bmetal,AandB,symbol,Crystal System,Point Group,Bulk_concentration,experimentally_observed,Surface,Surface concentration,Ads. site,nearest_symbols,Eads (eV),Surf. E. (J/m²),Cost ($/kg),distance_from_optimal,activity_score,stability_score,cost_score,asci_score,ASCI Rank
34,MnSn_221_B_0.050,mp-1009206,False,Mn,Sn,Mn-Sn,MnSn,Cubic,Pm3m,"{'Mn': 50.0, 'Sn': 50.0}",False,221,"{'Mn': 40.0, 'Sn': 60.0}",top,['Mn'],-0.29072565,1.1938858146035742,15.35285,0.0207256499999999,0.8618290000000001,0.6622571758664171,0.8349514126615525,0.7868319183408456,35
35,Mn2Sn4_111_B_0.070,mp-20086,False,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,I4mcm,"{'Mn': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Mn': 36.36363636363637, 'Sn': 63.63636363636363}",top,['Mn'],-0.23399633,0.8823831430502391,20.44925,0.03600367,0.7599755333333332,0.7776672889469112,0.8079212477300616,0.7821153555807017,36
36,Co2Sn4_221_B_0.017,mp-20155,False,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,I4mcm,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}",True,221,"{'Co': 23.076923076923077, 'Sn': 76.92307692307693}",bridge,"['Co', 'Co']",-0.23532628,0.792209376290914,31.66131999999999,0.03467372,0.7688418666666665,0.8110761986255748,0.7666987573477353,0.7820505390446697,37
37,Cu6Sb2_210_T_0.000,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,210,"{'Cu': 80.0, 'Sb': 20.0}",bridge,"['Cu', 'Cu']",-0.22038803,0.7201282631813798,15.0918025,0.04961197,0.6692535333333333,0.8377818746104914,0.836568574024049,0.7817549997896388,38
38,Fe2Sn4_221_T_0.015,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,221,"{'Fe': 28.57142857142857, 'Sn': 71.42857142857143}",top,['Fe'],-0.2331692,0.881321899591497,20.461383333333327,0.0368308,0.7544613333333332,0.7780604741063468,0.8078653134394425,0.7804064030245049,39
39,Cu6Sb2_111_T_0.050,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,111,"{'Cu': 71.42857142857143, 'Sb': 28.57142857142857}",3-fold,"['Cu', 'Cu', 'Cu']",-0.21583818,0.6577320801144291,15.0918025,0.05416182,0.6389211999999997,0.8608993345912961,0.836568574024049,0.7793740915833043,40
40,Cu6Sb2_111_T_0.167,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,111,"{'Cu': 75.0, 'Sb': 25.0}",bridge,"['Cu', 'Cu']",-0.32133275,0.7215577921659687,15.0918025,0.0513327499999999,0.6577816666666667,0.837252241586991,0.836568574024049,0.7777945048918837,41
41,Fe2Sn4_111_B_0.071,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Fe': 36.36363636363637, 'Sn': 63.63636363636363}",top,['Fe'],-0.23018211,0.8554232019640398,20.461383333333327,0.03981789,0.7345473999999999,0.7876558063290774,0.8078653134394425,0.777001264658006,42
42,Ti2Sb4_100_T_0.250,mp-568,True,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,I4mcm,"{'Sb': 66.66666666666666, 'Ti': 33.33333333333333}",True,100,"{'Sb': 66.66666666666666, 'Ti': 33.33333333333333}",bridge,"['Ti', 'Ti']",-0.3019885,0.9867635199159842,21.78492666666666,0.0319884999999999,0.7867433333333335,0.738994904413613,0.8019547929262757,0.7761582480514262,43
43,Cu6Sn2_210_B_0.063,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,210,"{'Cu': 66.66666666666666, 'Sn': 33.33333333333333}",bridge,"['Cu', 'Cu']",-0.22746902,0.9030209395126564,15.4369325,0.04253098,0.7164601333333331,0.7700210931323369,0.834436380594267,0.774247174135722,44
44,Cu6Sn2_210_T_0.083,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,210,"{'Cu': 80.0, 'Sn': 20.0}",bridge,"['Cu', 'Cu']",-0.22411983,0.8525255541800856,15.4369325,0.04588017,0.6941321999999999,0.7887293697009291,0.834436380594267,0.7730526874033574,45
45,Ni2Sb2_111_T_0.062,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,111,"{'Ni': 42.857142857142854, 'Sb': 57.14285714285714}",bridge,"['Ni', 'Ni']",-0.23478475,0.94748501374226,22.50325,0.03521525,0.7652316666666664,0.7535473858306664,0.7988956169806442,0.7728215970975388,46
46,Fe2Sb4_111_B_0.029,mp-1072181,False,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,111,"{'Fe': 40.0, 'Sb': 60.0}",bridge,"['Fe', 'Fe']",-0.33548246,0.4446906230441501,19.54103666666666,0.0654824599999999,0.5634502666666669,0.939830081890214,0.812205176446521,0.7722322750155879,47
47,Ni2Sb2_210_T_0.167,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,210,"{'Ni': 40.0, 'Sb': 60.0}",bridge,"['Ni', 'Ni']",-0.22402089,0.7906654469177574,22.50325,0.04597911,0.6934725999999999,0.8116482163956177,0.7988956169806442,0.7683143791839728,48
48,Sb14Mo6_110_T_0.210,mp-1521,True,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,Im3m,"{'Mo': 30.0, 'Sb': 70.0}",True,110,"{'Mo': 20.0, 'Sb': 80.0}",top,['Mo'],-0.29837413,0.9828701575026084,39.065395,0.0283741299999999,0.8108391333333334,0.740437374855842,0.7468827755630999,0.7658613913938819,49
49,Cu6Sn2_221_B_0.125,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,221,"{'Cu': 78.94736842105263, 'Sn': 21.052631578947366}",bridge,"['Cu', 'Cu']",-0.22595291,0.9594240599831364,15.4369325,0.04404709,0.7063527333333333,0.7491240315465383,0.834436380594267,0.7640157018124084,50
50,Ti2Sb4_111_B_0.074,mp-568,True,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,I4mcm,"{'Sb': 66.66666666666666, 'Ti': 33.33333333333333}",True,111,"{'Sb': 60.0, 'Ti': 40.0}",bridge,"['Ti', 'Ti']",-0.31129682,0.925758470684605,21.78492666666666,0.0412968199999999,0.724687866666667,0.761596956573121,0.8019547929262757,0.7631386212640638,51
51,Fe2Sn4_100_T_0.250,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,100,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",bridge,"['Fe', 'Fe']",-0.31686914,0.8575194055404274,20.461383333333327,0.0468691399999999,0.6875390666666668,0.7868791738508253,0.8078653134394425,0.7612322259401828,52
52,Cu6Sn2_221_T_0.031,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,221,"{'Cu': 78.94736842105263, 'Sn': 21.052631578947366}",bridge,"['Cu', 'Cu']",-0.22132383,0.9371570147492624,15.4369325,0.04867617,0.6754921999999999,0.7573738555226703,0.834436380594267,0.756554167724532,53
53,Fe2Sb4_111_T_0.131,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,111,"{'Fe': 37.5, 'Sb': 62.5}",top,['Fe'],-0.22668033,0.978068075445276,19.54103666666666,0.04331967,0.7112022,0.7422165211806391,0.812205176446521,0.7557779379814281,54
54,Co2Sn4_111_B_0.069,mp-20155,False,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,I4mcm,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Co': 25.0, 'Sn': 75.0}",bridge,"['Co', 'Co']",-0.22348949,0.8340814320354135,31.66131999999999,0.04651051,0.6899299333333333,0.7955628206365901,0.7666987573477353,0.7508901863083048,55
55,Co2Sn4_111_T_0.028,mp-20155,False,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,I4mcm,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Co': 14.285714285714285, 'Sn': 85.71428571428571}",top,['Co'],-0.22184664,0.837899625797754,31.66131999999999,0.04815336,0.6789776,0.7941481997870239,0.7666987573477353,0.7468090914279479,56
56,Fe3Cu_111_T_0.042,mp-1184260,False,Cu,Fe,Cu-Fe,Fe3Cu,Cubic,Fm3m,"{'Cu': 25.0, 'Fe': 75.0}",False,111,"{'Cu': 33.33333333333333, 'Fe': 66.66666666666666}",bridge,"['Fe', 'Fe']",-0.28368135,2.1212152458255864,2.6671775,0.0136813499999999,0.908791,0.3186864643006951,1.0,0.7450675632192295,57
57,Cu6Sn2_110_T_0.375,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,110,"{'Cu': 75.0, 'Sn': 25.0}",bridge,"['Cu', 'Cu']",-0.2109471,0.8580973747980352,15.4369325,0.0590529,0.6063139999999998,0.7866650392591541,0.834436380594267,0.7433914523575716,58
58,Cu6Sn2_111_T_0.000,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,111,"{'Cu': 66.66666666666666, 'Sn': 33.33333333333333}",bridge,"['Cu', 'Cu']",-0.21137339,0.887685669246072,15.4369325,0.05862661,0.6091559333333332,0.7757027306822205,0.834436380594267,0.7407117285271836,59
59,Cu6Sn2_110_T_0.250,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,110,"{'Cu': 75.0, 'Sn': 25.0}",bridge,"['Cu', 'Cu']",-0.20526428,0.8183737217358753,15.4369325,0.06473572,0.5684285333333332,0.8013824452737257,0.834436380594267,0.7357459923423803,60
